"","cluster_id","depth_m","seaTemp","seaSal","seaPH","seaTCO2","seaTA","seaDO","seaChl","seaSi","seaNH4","seaNO3","seaNO2","seaPO3","distanceSho","ta_hucMean","ta_hucMax","ta_hucMin","numberRiv_15km","composite_fw_expose","composite_fw_exp_mo","flowYear_cfs","flowYear_m3s","month","distanceRiv","soilpH_hucMean","soilpH_hucMax","lat","lon","latInteger","year","day","upwell","upwellN","depth_bin","date_only","dataset_id"
"17","C1012",1,15.02,33.1,7.857,NA,2187.65,NA,NA,NA,NA,NA,NA,NA,0,4480.42391304348,39800,543,5,1.03172657129884,0.0807735740999127,107.538,3.0451320384,11,3054.53271377343,69.8626089002545,80,34.7188,-120.6088,35,2013,19,0.388,1.754,0,2013-11-19,36
"18","C1013",0,11.5,32.96,NA,NA,2229.2,267.6553236,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,0.247415182278412,0,0,11,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2013,20,-0.535,-7.177,0,2013-11-20,28
"19","C1014",0,11.4,33.24,NA,NA,2224.53,271.7598754,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,0.247415182278412,0,0,11,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2013,26,-0.351,-3.257,0,2013-11-26,28
"20","C1015",2,12.2,33.48,NA,NA,2403.22,253.8844324,NA,NA,NA,NA,NA,NA,0.159188082376575,1971.75757575758,6400,60,29,1.03603698573736,0.392524269600128,0.218,0.0061730624,11,872.439695961189,61.4284765489768,84,38.16,-122.91,38,2013,27,-0.084,-0.654,0,2013-11-27,38
"21","C1016",2,12.6,33.39,8.112474842,NA,2404.06,234.5822355,NA,NA,NA,NA,NA,NA,0.622400413411528,1971.75757575758,6400,60,29,1.07166526634127,0.403589211282717,0.939,0.0265894752,11,528.861526618697,61.4284765489768,84,38.16,-122.9,38,2013,27,-0.084,-0.654,0,2013-11-27,38
"22","C1017",10.8,15.92,33.2,8.045,NA,2238.7,NA,NA,NA,NA,NA,NA,NA,0.879233333028032,5059.69863731656,36800,471,12,0.158766301961745,0.142139753203695,2.856,0.0808727808,12,1554.08564233631,67.1936659179238,79,34.3932,-119.7301,34,2013,2,-0.365,-0.29,0,2013-12-02,36
"23","C1018",10.8,15.46,33.2,8.034,NA,2232.6,NA,NA,NA,NA,NA,NA,NA,0.879233333028032,5059.69863731656,36800,471,12,0.158766301961745,0.142139753203695,2.856,0.0808727808,12,1554.08564233631,67.1936659179238,79,34.3932,-119.7301,34,2013,4,1.79,1.648,0,2013-12-04,36
"24","C1019",10,15.08,33.2,8.039,NA,2229.9,NA,NA,NA,NA,NA,NA,NA,0.931848001801914,5059.69863731656,36800,471,20,0.134153116552251,0.100881454157649,0.599,0.0169617632,12,557.943255903644,67.1936659179238,79,34.465,-120.1196,34,2013,4,1.79,1.648,0,2013-12-04,36
"25","C102",0,21.05,35.86,NA,2465.15,2646.29,NA,NA,NA,NA,NA,NA,NA,0,1971.75757575758,6400,60,30,1.61490289546417,0.0912054782907945,0.603,0.0170750304,9,825.634809995682,61.4284765489768,84,38.105,-122.854,38,2009,22,0.446,0.528,0,2009-09-22,38
"26","C1020",0,10.6,33.21,NA,NA,2227.93,280.3792411,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,1.15601428825234,0,0,12,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2013,5,1.327,14.961,0,2013-12-05,28
"27","C1021",0,9.9,32.9,NA,NA,2199.81,294.1182498,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,1.15601428825234,0,0,12,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2013,13,-0.284,-3.619,0,2013-12-13,28
"28","C1022",2,9.5,33.52,NA,NA,2246.6,NA,NA,NA,NA,NA,NA,NA,0.159188082376575,1971.75757575758,6400,60,29,1.03603698573736,1.40516028756594,0.218,0.0061730624,12,872.439695961189,61.4284765489768,84,38.16,-122.91,38,2013,17,-0.466,-6.335,0,2013-12-17,38
"29","C1023",2,9.2,33.33,8.093546675,NA,2384.41,NA,NA,NA,NA,NA,NA,NA,0.622400413411528,1971.75757575758,6400,60,29,1.07166526634127,1.4709125091244,0.939,0.0265894752,12,528.861526618697,61.4284765489768,84,38.16,-122.9,38,2013,17,-0.466,-6.335,0,2013-12-17,38
"30","C1024",0,10.7,32.95,NA,NA,2225.85,284.5988972,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,1.15601428825234,0,0,12,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2013,17,-0.466,-6.335,0,2013-12-17,28
"31","C1025",1,13.56,33.15,7.991,NA,2197.3,NA,NA,NA,NA,NA,NA,NA,0,4480.42391304348,39800,543,5,1.03172657129884,0.156976941328551,107.538,3.0451320384,12,3054.53271377343,69.8626089002545,80,34.7188,-120.6088,35,2013,18,-0.164,-1.02,0,2013-12-18,36
"32","C1026",2,9.2,33.195,8.0709192905,NA,2379.845,232.20584295,NA,NA,NA,NA,NA,NA,0.622400413411528,1971.75757575758,6400,60,29,1.07166526634127,1.4709125091244,0.939,0.0265894752,12,528.861526618697,61.4284765489768,84,38.16,-122.9,38,2013,18,-0.051,-0.692,0,2013-12-18,38
"33","C1027",0,11,33.19,NA,NA,2220.85,280.982681,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,2.46344985361308,0,0,1,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,3,0.09,1.313,0,2014-01-03,28
"34","C1028",0,10.9,33.16,NA,NA,2187.92,297.3416689,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,2.46344985361308,0,0,1,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,6,-0.249,-3.72,0,2014-01-06,28
"35","C1029",10.8,15.27,33.1,8.055,NA,2237.4,NA,NA,NA,NA,NA,NA,NA,0.879233333028032,5059.69863731656,36800,471,12,0.158766301961745,0.357673326641817,2.856,0.0808727808,1,1554.08564233631,67.1936659179238,79,34.3932,-119.7301,34,2014,8,0.18,0.38,0,2014-01-08,36
"36","C103",0,20.45,35.78,NA,2225.565,2430.16,NA,NA,NA,NA,NA,NA,NA,0,1971.75757575758,6400,60,30,1.16252538262018,0.0660630966626249,1.33,0.037661344,9,786.694315481832,61.4284765489768,84,38.118,-122.867,38,2009,22,0.446,0.528,0,2009-09-22,38
"37","C1030",10,14.6,33.1,8.048,NA,2235.7,NA,NA,NA,NA,NA,NA,NA,0.931848001801914,5059.69863731656,36800,471,20,0.134153116552251,0.206345894792721,0.599,0.0169617632,1,557.943255903644,67.1936659179238,79,34.465,-120.1196,34,2014,8,0.18,0.38,0,2014-01-08,36
"38","C1031",4,15,33,8.022,NA,2233,NA,NA,NA,NA,NA,NA,NA,0.937733435693464,5059.69863731656,36800,471,20,0.134153116552251,0.206345894792721,0.599,0.0169617632,1,557.943255903644,67.1936659179238,79,34.465,-120.1196,34,2014,9,0.83,1.873,0,2014-01-09,30
"39","C1032",1,15.76,33.1,8.18,NA,2244,NA,NA,NA,NA,NA,NA,NA,1.28362450026653,5059.69863731656,36800,471,14,0.163047655781802,0.32264902532426,0.184,0.0052102912,1,451.042781509782,67.1936659179238,79,34.4067,-119.8775,34,2014,13,0.285,0.786,0,2014-01-13,36
"40","C1033",1,14.135,33.15,7.978,NA,2204.3,NA,NA,NA,NA,NA,NA,NA,0,4480.42391304348,39800,543,5,1.03172657129884,1.10552718062852,107.538,3.0451320384,1,3054.53271377343,69.8626089002545,80,34.7188,-120.6088,35,2014,14,0.11,0.713,0,2014-01-14,36
"41","C1034",2,10.4,32.58,NA,NA,2291.86,247.1945527,NA,NA,NA,NA,NA,NA,0.159188082376575,1971.75757575758,6400,60,29,1.03603698573736,3.52820084420199,0.218,0.0061730624,1,872.439695961189,61.4284765489768,84,38.16,-122.91,38,2014,14,-0.064,-0.806,0,2014-01-14,38
"42","C1035",2,10.4,32.59,8.085398065,NA,2335.76,234.4017265,NA,NA,NA,NA,NA,NA,0.622400413411528,1971.75757575758,6400,60,29,1.07166526634127,3.70035998781756,0.939,0.0265894752,1,528.861526618697,61.4284765489768,84,38.16,-122.9,38,2014,14,-0.064,-0.806,0,2014-01-14,38
"43","C1036",0,11.1,33.09,NA,NA,2217.69,272.9764591,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,2.46344985361308,0,0,1,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,17,-0.535,-6.683,0,2014-01-17,28
"44","C1037",2,10.35,32.415,8.0461468655,NA,2334.925,255.4055691,NA,NA,NA,NA,NA,NA,0.622400413411528,1971.75757575758,6400,60,29,1.07166526634127,3.70035998781756,0.939,0.0265894752,1,528.861526618697,61.4284765489768,84,38.16,-122.9,38,2014,21,-0.642,-7.395,0,2014-01-21,38
"45","C1038",1,14.99,33.1,8.065,NA,2226,NA,NA,NA,NA,NA,NA,NA,0,4480.42391304348,39800,543,5,1.03172657129884,1.10552718062852,107.538,3.0451320384,1,3054.53271377343,69.8626089002545,80,34.7188,-120.6088,35,2014,27,0.141,0.523,0,2014-01-27,36
"46","C1039",0,11.5,32.93,NA,NA,2218.76,275.0964473,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,2.46344985361308,0,0,1,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,31,1.254,13.484,0,2014-01-31,28
